ID;booking;occupation_id_desc;had_a_flight_in_last_cruise;booked_country_aggregation;AGE;LOYALTY_TOTAL_SCORE;NUMBER_OF_CRUISES;rfm_segment;is_loyalty;pcc_flag;flag_app;opener_segment;privacy_channel_email_date;privacy_channel_phone_date;privacy_channel_post_date;privacy_send_material_date;loyalty_subscribe_date;days_after_cruise_end;BKG_Channel;last_cruise_program_desc;last_cruise_duration;last_cruise_bkg_anticipation;last_paid_cabin_meta_cat_code;last_nps_segment;last_pax_type;flag_bkd_cxl_last3y;flag_opt_cxl_last3y;flag_bkd_cxl_last_month;flag_opt_cxl_last_month;num_cruises_last3y;total_gross_cru_rev_eur_mean;total_gross_obr_rev_eur_mean;sent_last_month;open_last_month;click_last_month;source_desc
55;;;False;FRANCE;73;1;1;LOST;True;1;0.0;OP_LOW_CL_LOW;05/11/2017;05/11/2017;05/11/2017;05/11/2017;2019-11-18T00:00:00.000Z;1599.0;OTA;Mediterranean - 7 Days;7.0;163.0;O;;BASIC;;;;;;;;4.0;3.0;0.0;
56;;;False;PORTUGAL;48;0;1;LOST;False;0;0.0;OLD_OPENER;22/09/2018;22/09/2018;22/09/2018;22/09/2018;;1278.0;Trade;Mediterranean - 7 Days;7.0;123.0;O;;BASIC;;;;;;;;;;;
57;;;False;ARGENTINA;45;0;1;LOST;False;0;0.0;;21/12/2018;21/12/2018;21/12/2018;21/12/2018;;1192.0;;South America;3.0;50.0;I;;BASIC;;;;;;;;;;;
58;;;False;FRANCE;76;8882;2;LOST;True;0;0.0;OP_HIGH_CL_LOW;;;;05/06/2019;2019-04-18T00:00:00.000Z;1005.0;Trade;Northern Europe - 7 Days;7.0;136.0;V;;ACORAL;1.0;4.0;0.0;0.0;;;;0.0;0.0;0.0;
59;;;;ITALY;43;0;0;PROSPECT;True;0;1.0;NEVER_OPENER;27/10/2018;27/10/2018;27/10/2018;27/10/2018;2018-10-27T00:00:00.000Z;;;;;0.0;;;;;;;;;;;1.0;0.0;0.0;COSTA-APP
60;;;True;ITALY;32;0;1;LOST;False;0;0.0;;27/12/2014;27/12/2014;27/12/2014;27/12/2014;;2642.0;;Emirates 7 Days;7.0;4.0;I;;PIND;;;;;;;;;;;
61;;;True;FRANCE;81;5665;3;0 HIGH;True;0;1.0;OP_HIGH_CL_LOW;18/05/2022;18/05/2022;18/05/2022;18/05/2022;2015-05-19T14:13:39.000Z;19.0;Call Center;Northern Europe - 10/14 Days;11.0;62.0;V;Promoter;ALBRONZE;0.0;7.0;0.0;0.0;1.0;1801.0;682.41;0.0;0.0;0.0;
62;;;;U.K.;62;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
63;;Not Available;False;ITALY;38;0;1;LOST;False;0;0.0;;15/02/2014;15/02/2014;15/02/2014;15/02/2014;;2958.0;;Winter Med 7 Days;7.0;24.0;I;;ROULETTE;;;;;;;;;;;
64;;;True;ITALY;75;0;1;LOST;False;0;0.0;;;;;;;2594.0;Trade;Caribbean 7 Days;7.0;15.0;V;;GRP;;;;;;;;;;;
65;;Pensioner;False;ITALY;88;15605;5;LOST;True;0;0.0;NEVER_OPENER;;;14/06/2014;14/06/2014;2004-04-23T12:00:00.000Z;760.0;Trade;Northern Europe - 10/14 Days;14.0;313.0;V;;CPEARL;2.0;3.0;0.0;0.0;;;;7.0;0.0;0.0;
66;;;False;FRANCE OVERSEAS;48;6205;2;0 HIGH;True;0;1.0;OP_LOW_CL_LOW;16/02/2020;16/02/2020;16/02/2020;16/02/2020;2020-02-16T00:00:00.000Z;59.0;Trade;Mediterranean - 8/12 Days;11.0;10.0;V;Promoter;GRP;;;;;1.0;720.0;550.95;2.0;2.0;0.0;
67;;;False;FRANCE;46;0;1;LOST;False;0;0.0;;;;;21/02/2018;;2110.0;Trade;Mediterranean - 7 Days;7.0;223.0;O;;HM;;;;;;;;;;;
68;;;False;SPAIN;52;0;1;LOST;False;0;0.0;;;;;;;1431.0;OTA;Mediterranean - 7 Days;7.0;59.0;I;;COSTA;;;;;;;;;;;
69;;;False;SWITZERLAND;53;3831;2;LOST;True;1;0.0;OP_LOW_CL_LOW;09/07/2019;09/07/2019;09/07/2019;09/07/2019;2015-08-17T00:00:00.000Z;985.0;Trade;Northern Europe - 10/14 Days;10.0;326.0;V;Detractor;GRP;;;;;;;;5.0;3.0;0.0;
70;;;False;ITALY;21;0;1;NO SEGMENT;False;1;0.0;;;;;;;1376.0;Call Center;Northern Europe - 7 Days;7.0;200.0;I;;CAMBER;;;;;;;;;;;
71;;;False;ITALY;51;0;0;PROSPECT;False;0;0.0;;;;;;;;Trade;Mediterranean - 7 Days;7.0;347.0;V;;COSTA;1.0;0.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
72;;;False;GERMANY;69;16984;3;LOST;False;0;0.0;;24/10/2016;24/10/2016;24/10/2016;24/10/2016;2013-12-27T00:00:00.000Z;1981.0;Call Center;Mediterranean - 8/12 Days;11.0;179.0;I;;VALUE;;;;;;;;;;;
73;;;False;FRANCE;59;23584;2;0 LOW;True;0;1.0;;11/02/2018;11/02/2018;11/02/2018;11/02/2018;2019-10-21T00:00:00.000Z;29.0;Trade;Mediterranean - 7 Days;7.0;12.0;O;;PIND;2.0;1.0;0.0;0.0;1.0;579.0;92.0;;;;
74;;;False;ITALY;85;0;1;NO SEGMENT;False;0;0.0;;;;;;;2521.0;Other Direct;Mediterranean - 3/6 Days;5.0;16.0;O;;GRP;;;;;;;;;;;
75;;;False;SPAIN;46;0;2;LOST;False;0;0.0;OLD_OPENER;29/06/2016;29/06/2016;29/06/2016;01/03/2019;;1108.0;Trade;Mediterranean - 7 Days;7.0;51.0;S;;SALLINCL;;;;;;;;;;;
76;;;False;SPAIN;18;0;1;NO SEGMENT;False;0;0.0;;;;;;;2103.0;Trade;Mediterranean - 7 Days;7.0;145.0;O;;COSTA;;;;;;;;;;;
77;;;True;ITALY;35;5069;1;0 HIGH;True;0;1.0;NEVER_OPENER;18/03/2023;18/03/2023;18/03/2023;18/03/2023;2023-03-18T15:18:59.000Z;37.0;Trade;Northern Europe - 7 Days;7.0;143.0;V;;MEBLUE;;;;;1.0;1111.6;1081.5;3.0;0.0;0.0;
78;;;False;NORTH AM.;74;1;1;LOST;True;0;0.0;OP_LOW_CL_LOW;21/07/2023;21/07/2023;21/07/2023;21/07/2023;2018-03-07T00:00:00.000Z;1465.0;Trade;Caribbean 7 Days;7.0;14.0;V;;GRP;;;;;;;;3.0;1.0;1.0;
79;;;False;GERMANY;55;0;0;PROSPECT;False;0;1.0;;;;;;;;OTA;Mediterranean - 7 Days;7.0;34.0;V;;MYALLINC;;;;;;;;;;;RESERVATION SYSTEM
80;;;True;ITALY;45;5991;2;LOST;True;0;0.0;;07/11/2019;07/11/2019;07/11/2019;07/11/2019;2011-04-05T09:27:48.000Z;810.0;Trade;Emirates 7 Days;7.0;364.0;I;;ACORAL;;;;;;;;;;;
81;;;;ITALY;62;1;0;LOST;True;0;0.0;OP_HIGH_CL_LOW;23/05/2018;23/05/2018;23/05/2018;23/05/2018;2009-07-01T00:00:00.000Z;;;;;0.0;;;;;;;;;;;1.0;1.0;0.0;
82;;;;ITALY;45;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
83;;;False;SPAIN;34;0;1;LOST;False;0;0.0;;12/08/2017;12/08/2017;12/08/2017;12/08/2017;;1684.0;Trade;Northern Europe - 7 Days;7.0;30.0;O;;COSTA;;;;;;;;;;;
84;;;False;ITALY;19;0;2;NO SEGMENT;False;0;0.0;;;;;;;1802.0;OTA;Mediterranean - 7 Days;7.0;178.0;O;;COSTA;;;;;;;;;;;
85;;;;ITALY;39;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
86;;;;BRAZIL;24;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
87;;;False;BRAZIL;62;1294;1;LOST;True;0;0.0;;24/12/2019;24/12/2019;;24/12/2019;2019-12-24T00:00:00.000Z;746.0;Call Center;South America;6.0;75.0;I;;CAMBER;;;;;;;;;;;
88;;;False;BRAZIL;36;0;1;LOST;False;0;0.0;;;;;;;1124.0;OTA;South America;6.0;16.0;V;;GRP;;;;;;;;;;;
89;;;;FRANCE;50;0;0;PROSPECT;True;0;0.0;OP_LOW_CL_LOW;20/11/2022;20/11/2022;20/11/2022;20/11/2022;2022-11-20T17:36:22.000Z;;;;;0.0;;;;;;;;;;;3.0;0.0;0.0;WEB
90;;;False;BRAZIL;37;0;0;PROSPECT;False;0;0.0;;;;;;;;OTA;Mediterranean - 7 Days;7.0;350.0;I;;COSTA;1.0;0.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
91;;;False;NORTH AM.;60;0;1;0 HIGH;False;0;1.0;NEVER_OPENER;01/06/2023;01/06/2023;01/06/2023;01/06/2023;;25.0;OTA;Mediterranean - 7 Days;7.0;216.0;V;;MYALLINC;;;;;1.0;1332.147196;372.52;;;;
92;;;;ITALY;39;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
93;;;False;FRANCE;38;0;1;LOST;False;0;0.0;;;;;23/08/2014;;2774.0;Trade;Mediterranean - 7 Days;7.0;149.0;V;;IND;;;;;;;;;;;
94;;;False;ITALY;79;1;1;LOST;True;1;0.0;;12/05/2017;13/05/2017;12/05/2017;12/05/2017;2012-01-31T00:00:00.000Z;1775.0;Call Center;Mediterranean - 7 Days;7.0;123.0;V;;EAQUA;;;;;;;;;;;
95;;;;SPAIN;45;0;0;PROSPECT;True;0;0.0;OP_HIGH_CL_LOW;21/03/2023;21/03/2023;21/03/2023;21/03/2023;2023-03-21T15:25:47.000Z;;;;;0.0;;;;;;;;;;;1.0;1.0;0.0;WEB
96;;;;ITALY;40;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;0.0;1.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
97;;;False;ITALY;49;4501;1;LOST;True;0;0.0;;;;;04/09/2015;2019-11-26T00:00:00.000Z;2407.0;Trade;Northern Europe - 10/14 Days;10.0;234.0;I;;AAQUA;1.0;7.0;0.0;0.0;;;;;;;
98;;;True;SPAIN;47;0;1;LOST;False;0;0.0;;26/05/2019;26/05/2019;26/05/2019;26/05/2019;;1107.0;Trade;Mediterranean - 7 Days;7.0;64.0;I;;SALLINCL;;;;;;;;;;;
99;;;;ITALY;38;0;0;PROSPECT;True;1;0.0;OP_LOW_CL_LOW;19/01/2023;19/01/2023;19/01/2023;19/01/2023;2023-01-19T18:59:16.000Z;;;;;0.0;;;;;;;;;;;4.0;1.0;1.0;WEB
100;;;;ITALY;42;0;0;PROSPECT;True;0;0.0;NEVER_OPENER;07/09/2022;07/09/2022;07/09/2022;07/09/2022;2022-09-07T21:15:21.000Z;;;;;0.0;;;;;;;;;;;1.0;0.0;0.0;WEB
101;;;False;ITALY;44;0;1;0 HIGH;False;0;0.0;NEVER_OPENER;27/06/2022;27/06/2022;27/06/2022;27/06/2022;;58.0;OTA;Mediterranean - 7 Days;7.0;256.0;I;;ALBLUE;;;;;1.0;772.22;337.22;1.0;0.0;0.0;
102;;;False;MEDMEIA;44;0;1;0 LOW;False;0;1.0;;;;;;;27.0;Trade;Emirates 7 Days;4.0;8.0;V;;MYCRUISE;;;;;1.0;429.0;87.26;;;;
103;;;False;SPAIN;49;0;1;LOST;False;0;0.0;OP_LOW_CL_LOW;23/02/2017;23/02/2017;23/02/2017;23/02/2017;;1857.0;Trade;Mediterranean - 7 Days;7.0;35.0;V;;COSTA;;;;;;;;1.0;0.0;0.0;
104;;;False;BRAZIL;43;0;0;PROSPECT;False;0;0.0;;;;;;;;OTA;Transatlantic;6.0;244.0;I;;ALLINCL;2.0;0.0;0.0;0.0;;;;;;;RESERVATION SYSTEM
105;;;False;ITALY;62;1;1;LOST;True;0;0.0;OP_HIGH_CL_HIGH;17/03/2021;17/03/2021;17/03/2021;17/03/2021;2019-05-06T00:00:00.000Z;1101.0;Trade;Mediterranean - 8/12 Days;11.0;64.0;O;;ALLINCL;;;;;;;;3.0;3.0;2.0;
106;;;False;SPAIN;37;1107;2;0 LOW;True;1;1.0;OP_HIGH_CL_HIGH;10/06/2021;10/06/2021;;03/08/2015;2022-09-28T00:00:49.000Z;62.0;Call Center;Mediterranean - 7 Days;7.0;68.0;I;Promoter;MYBLUE;;;;;1.0;269.1;280.97;0.0;0.0;0.0;
107;;;;ITALY;41;0;0;PROSPECT;False;0;0.0;;;;;;;;;;;0.0;;;;;;;;;;;;;;RESERVATION SYSTEM
108;;;False;SPAIN;54;0;0;PROSPECT;False;0;1.0;;;;;;;;OTA;Mediterranean - 7 Days;7.0;105.0;I;;MYCRUISE;;;;;1.0;1188.9;237.43;;;;RESERVATION SYSTEM
109;;;False;ITALY;92;0;1;LOST;False;0;0.0;;05/11/2015;05/11/2015;05/11/2015;05/11/2015;;2325.0;Trade;Mediterranean - 8/12 Days;11.0;7.0;I;;GRP;;;;;;;;;;;
110;;;False;FRANCE;78;3004;12;0 LOW;True;0;0.0;;;;;09/06/2018;2017-12-08T00:00:00.000Z;40.0;Trade;Mediterranean - 7 Days;7.0;25.0;V;;GRP;0.0;1.0;0.0;0.0;1.0;760.0;202.27;;;;
111;;;False;MEDMEIA;30;3384;1;0 HIGH;True;0;0.0;NEVER_OPENER;09/07/2022;09/07/2022;09/07/2022;09/07/2022;2022-07-09T15:09:46.000Z;21.0;Trade;Mediterranean - 7 Days;7.0;238.0;O;;GRP;1.0;0.0;0.0;0.0;1.0;779.0;985.04;0.0;0.0;0.0;
112;;;;FRANCE;56;0;0;PROSPECT;True;0;0.0;NEVER_OPENER;24/04/2019;24/04/2019;24/04/2019;24/04/2019;2019-04-15T00:00:00.000Z;;;;;0.0;;;;;;;;;;;0.0;0.0;0.0;WEB
113;;;;ARGENTINA;21;0;0;PROSPECT;True;0;0.0;NEVER_OPENER;14/11/2022;14/11/2022;14/11/2022;14/11/2022;2022-11-14T01:30:22.000Z;;;;;0.0;;;;;;;;;;;0.0;0.0;0.0;WEB
114;;;False;EMERGING CENTRAL EUROPE;58;1;1;LOST;True;0;1.0;OP_HIGH_CL_LOW;13/10/2018;13/10/2018;13/10/2018;13/10/2018;2018-09-17T00:00:00.000Z;1263.0;Web;Mediterranean - 7 Days;7.0;28.0;V;;COSTA;;;;;;;;4.0;4.0;0.0;
